table,element,language,label,value,dependent_value,sequence
incident,u_subcategory2,en,R1111,0,0,0
incident,u_subcategory2,en,R1122,1,0,1
incident,u_subcategory2,en,R1133,2,0,2
incident,u_subcategory2,en,R1211,3,1,0
incident,u_subcategory2,en,R1222,4,1,1
incident,u_subcategory2,en,R1233,5,1,2
incident,u_subcategory2,en,R1311,6,2,0
incident,u_subcategory2,en,R1322,7,2,1
incident,u_subcategory2,en,R1333,8,2,2
incident,u_subcategory2,en,R2111,9,3,0
incident,u_subcategory2,en,R2122,10,3,1
incident,u_subcategory2,en,R2133,11,3,2
incident,u_subcategory2,en,R2211,12,4,0
incident,u_subcategory2,en,R2222,13,4,1
incident,u_subcategory2,en,R2233,14,4,2
incident,u_subcategory2,en,R2311,15,5,0
incident,u_subcategory2,en,R2322,16,5,1
incident,u_subcategory2,en,R2333,17,5,2
